,kode,Link Paket,Link Peserta,Nama Paket,Detail Paket,Tender,SPSE,Nilai Kontrak,K/L/PD,Link Tahapan,HPS
12,3121469,https://lpse.basarnas.go.id/eproc4/lelang/3121469/pengumumanlelang,https://lpse.basarnas.go.id/eproc4/lelang/3121469/peserta,Pembangunan Rettening Wall Pos Pencarian dan Pertolongan Batam,Pekerjaan Konstruksi - TA 2022 - Tender - Pascakualifikasi Satu File Harga Terendah Sistem Gugur,nan,spse 4.4,"  Rp. 888.999.035,00",Badan Nasional Pencarian dan Pertolongan,/eproc4/lelang/3121469/jadwal,"999,5 Jt"
13,3119469,https://lpse.basarnas.go.id/eproc4/lelang/3119469/pengumumanlelang,https://lpse.basarnas.go.id/eproc4/lelang/3119469/peserta,Optimalisasi dan Integrasi Aplikasi Umum dalam rangka Maintenance IT Sysem Support,Jasa Lainnya - TA 2022 - Tender - Pascakualifikasi Satu File Harga Terendah Sistem Gugur,nan,spse 4.4,"  Rp. 1.083.160.200,00",Badan Nasional Pencarian dan Pertolongan,/eproc4/lelang/3119469/jadwal,"1,1 M"
14,3118469,https://lpse.basarnas.go.id/eproc4/lelang/3118469/pengumumanlelang,https://lpse.basarnas.go.id/eproc4/lelang/3118469/peserta,",Pengadaan Penyedia Tenaga Alih Daya (Outsourching)",Jasa Lainnya - TA 2022 - Tender - Pascakualifikasi Satu File Harga Terendah Sistem Gugur,Tender Dibatalkan,spse 4.4,  Nilai Kontrak belum dibuat,Badan Nasional Pencarian dan Pertolongan,/eproc4/lelang/3118469/jadwal,"1,1 M"
15,3117469,https://lpse.basarnas.go.id/eproc4/lelang/3117469/pengumumanlelang,https://lpse.basarnas.go.id/eproc4/lelang/3117469/peserta,Optimalisasi dan Integrasi  Aplikasi Khusus dalam rangka Maintenance IT Sysem Support,Jasa Lainnya - TA 2022 - Tender - Pascakualifikasi Satu File Harga Terendah Sistem Gugur,nan,spse 4.4,"  Rp. 1.507.360.020,00",Badan Nasional Pencarian dan Pertolongan,/eproc4/lelang/3117469/jadwal,"1,5 M"
16,3116469,https://lpse.basarnas.go.id/eproc4/lelang/3116469/pengumumanlelang,https://lpse.basarnas.go.id/eproc4/lelang/3116469/peserta,Pekerjaan Spesial Inspection Untuk Pemeliharaan Kapal Penyelamatan (Rescue Boat) KN SAR Bimasena 228 Kantor Pencarian Dan Pertolongan Manado,Jasa Lainnya - TA 2022 - Tender - Pascakualifikasi Satu File Harga Terendah Sistem Gugur,nan,spse 4.4,"  Rp. 1.905.011.415,00",Badan Nasional Pencarian dan Pertolongan,/eproc4/lelang/3116469/jadwal,"2,1 M"
17,3114469,https://lpse.basarnas.go.id/eproc4/lelang/3114469/pengumumanlelang,https://lpse.basarnas.go.id/eproc4/lelang/3114469/peserta,Pembangunan Gudang Peralatan Rumah Genset dan Pos Satpam,Pekerjaan Konstruksi - TA 2022 - Tender - Pascakualifikasi Satu File Harga Terendah Sistem Gugur,nan,spse 4.4,"  Rp. 1.296.702.232,00",Badan Nasional Pencarian dan Pertolongan,/eproc4/lelang/3114469/jadwal,"1,3 M"
18,3109469,https://lpse.basarnas.go.id/eproc4/lelang/3109469/pengumumanlelang,https://lpse.basarnas.go.id/eproc4/lelang/3109469/peserta,Renovasi Talud Penahan Ombak,Pekerjaan Konstruksi - TA 2022 - Tender - Pascakualifikasi Satu File Harga Terendah Sistem Gugur,nan,spse 4.4,"  Rp. 591.928.017,00",Badan Nasional Pencarian dan Pertolongan,/eproc4/lelang/3109469/jadwal,600 Jt
19,3108469,https://lpse.basarnas.go.id/eproc4/lelang/3108469/pengumumanlelang,https://lpse.basarnas.go.id/eproc4/lelang/3108469/peserta,Revitalisasi Backbone Infrastruktur Jaringan Pusat Data dalam rangka Maintenance IT Sysem Support,Pengadaan Barang - TA 2022 - Tender - Pascakualifikasi Satu File Harga Terendah Sistem Gugur,Tender Ulang,spse 4.4,"  Rp. 3.595.989.078,00",Badan Nasional Pencarian dan Pertolongan,/eproc4/lelang/3108469/jadwal,"3,6 M"
20,3107469,https://lpse.basarnas.go.id/eproc4/lelang/3107469/pengumumanlelang,https://lpse.basarnas.go.id/eproc4/lelang/3107469/peserta,Integrasi dan Optimalisasi Infrastruktur dalam Maintenance IT Sysem Support,Jasa Lainnya - TA 2022 - Tender - Pascakualifikasi Satu File Harga Terendah Sistem Gugur,nan,spse 4.4,"  Rp. 1.142.190.000,00",Badan Nasional Pencarian dan Pertolongan,/eproc4/lelang/3107469/jadwal,"1,2 M"
21,3106469,https://lpse.basarnas.go.id/eproc4/lelang/3106469/pengumumanlelang,https://lpse.basarnas.go.id/eproc4/lelang/3106469/peserta,Pengadaan Peralatan Audio Visual Indor di Aula Lantai 15 dan Lantai 2 Badan Nasional Pencarian Dan Pertolongan Tahun Anggaran 2022,Pengadaan Barang - TA 2022 - Tender - Pascakualifikasi Satu File Harga Terendah Sistem Gugur,nan,spse 4.4,"  Rp. 1.463.580.732,00",Badan Nasional Pencarian dan Pertolongan,/eproc4/lelang/3106469/jadwal,"1,5 M"
22,3103469,https://lpse.basarnas.go.id/eproc4/lelang/3103469/pengumumanlelang,https://lpse.basarnas.go.id/eproc4/lelang/3103469/peserta,Perpanjangan Lisensi Oracle dalam rangka Pembayaran Lisensi Aplikasi,Jasa Lainnya - TA 2022 - Tender - Pascakualifikasi Satu File Harga Terendah Sistem Gugur,nan,spse 4.4,"  Rp. 578.310.000,00",Badan Nasional Pencarian dan Pertolongan,/eproc4/lelang/3103469/jadwal,"589,4 Jt"
23,3095469,https://lpse.basarnas.go.id/eproc4/lelang/3095469/pengumumanlelang,https://lpse.basarnas.go.id/eproc4/lelang/3095469/peserta,PEKERJAAN JASA KONSULTANSI PENYUSUNAN REVIU RENCANA STRATEGIS  BADAN NASIONAL PENCARIAN DAN PERTOLONGAN (BASARNAS) TAHUN 2020-2024,Jasa Konsultansi Badan Usaha Non Konstruksi - TA 2022 - Seleksi - Prakualifikasi Dua File Kualitas dan Biaya,nan,spse 4.4,  Nilai Kontrak belum dibuat,Badan Nasional Pencarian dan Pertolongan,/eproc4/lelang/3095469/jadwal,"497,8 Jt"
24,3090469,https://lpse.basarnas.go.id/eproc4/lelang/3090469/pengumumanlelang,https://lpse.basarnas.go.id/eproc4/lelang/3090469/peserta,Pembangunan Gudang Peralatan,Pekerjaan Konstruksi - TA 2022 - Tender - Pascakualifikasi Satu File Harga Terendah Sistem Gugur,nan,spse 4.4,"  Rp. 1.056.440.785,00",Badan Nasional Pencarian dan Pertolongan,/eproc4/lelang/3090469/jadwal,"1,1 M"
25,3084469,https://lpse.basarnas.go.id/eproc4/lelang/3084469/pengumumanlelang,https://lpse.basarnas.go.id/eproc4/lelang/3084469/peserta,Renovasi Gedung Operasional dan Penataan Halaman Unit Siaga Pencarian dan Pertolongan Tulangbawang,Pekerjaan Konstruksi - TA 2022 - Tender - Pascakualifikasi Satu File Harga Terendah Sistem Gugur,nan,spse 4.4,"  Rp. 725.760.657,00",Badan Nasional Pencarian dan Pertolongan,/eproc4/lelang/3084469/jadwal,750 Jt
26,3081469,https://lpse.basarnas.go.id/eproc4/lelang/3081469/pengumumanlelang,https://lpse.basarnas.go.id/eproc4/lelang/3081469/peserta,Pengadaan  Personal Protective Equipment,Pengadaan Barang - TA 2022 - Tender - Pascakualifikasi Satu File Harga Terendah Sistem Gugur,nan,spse 4.4,"  Rp. 7.378.064.550,00",Badan Nasional Pencarian dan Pertolongan,/eproc4/lelang/3081469/jadwal,"7,4 M"
27,3080469,https://lpse.basarnas.go.id/eproc4/lelang/3080469/pengumumanlelang,https://lpse.basarnas.go.id/eproc4/lelang/3080469/peserta,Pekerjaan Spesial Inspection Untuk Pemeliharaan Kapal Penyelamatan (Rescue Boat) KN SAR Baladewa 238 Kantor Pencarian Dan Pertolongan Sorong,Jasa Lainnya - TA 2022 - Tender - Pascakualifikasi Satu File Harga Terendah Sistem Gugur,nan,spse 4.4,"  Rp. 2.404.926.000,00",Badan Nasional Pencarian dan Pertolongan,/eproc4/lelang/3080469/jadwal,"2,6 M"
28,3078469,https://lpse.basarnas.go.id/eproc4/lelang/3078469/pengumumanlelang,https://lpse.basarnas.go.id/eproc4/lelang/3078469/peserta,Pekerjaan Spesial Inspection Untuk Pemeliharaan Kapal Penyelamatan (Rescue Boat) KN SAR Wisanggeni 236 Kantor Pencarian Dan Pertolongan Balikpapan,Jasa Lainnya - TA 2022 - Tender - Pascakualifikasi Satu File Harga Terendah Sistem Gugur,nan,spse 4.4,"  Rp. 1.999.998.000,00",Badan Nasional Pencarian dan Pertolongan,/eproc4/lelang/3078469/jadwal,"2,6 M"
29,3077469,https://lpse.basarnas.go.id/eproc4/lelang/3077469/pengumumanlelang,https://lpse.basarnas.go.id/eproc4/lelang/3077469/peserta,- 1 Pengembangan Shelter Pos SAR Mabar (Labuan Bajo),Pekerjaan Konstruksi - TA 2022 - Tender - Pascakualifikasi Satu File Harga Terendah Sistem Gugur,nan,spse 4.4,  Nilai Kontrak belum dibuat,Badan Nasional Pencarian dan Pertolongan,/eproc4/lelang/3077469/jadwal,262 Jt
30,3076469,https://lpse.basarnas.go.id/eproc4/lelang/3076469/pengumumanlelang,https://lpse.basarnas.go.id/eproc4/lelang/3076469/peserta,Pengadaan Sarana SAR Rigid Bouyancy Boat,Pengadaan Barang - TA 2022 - Tender - Pascakualifikasi Satu File Harga Terendah Sistem Gugur,nan,spse 4.4,"  Rp. 16.790.004.300,00",Badan Nasional Pencarian dan Pertolongan,/eproc4/lelang/3076469/jadwal,18 M
31,3073469,https://lpse.basarnas.go.id/eproc4/lelang/3073469/pengumumanlelang,https://lpse.basarnas.go.id/eproc4/lelang/3073469/peserta,Penyediaan Tenaga Alih Daya (Outsourching) Kantor Pencarian dan Pertolongan Pekanbaru,Jasa Lainnya - TA 2022 - Tender - Pascakualifikasi Satu File Harga Terendah Sistem Gugur,nan,spse 4.4,"  Rp. 948.617.997,00",Badan Nasional Pencarian dan Pertolongan,/eproc4/lelang/3073469/jadwal,959 Jt
32,3066469,https://lpse.basarnas.go.id/eproc4/lelang/3066469/pengumumanlelang,https://lpse.basarnas.go.id/eproc4/lelang/3066469/peserta,Pekerjaan Pembangunan Gedung Operasional Unit Siaga SAR Bantaeng,Pekerjaan Konstruksi - TA 2022 - Tender - Pascakualifikasi Satu File Harga Terendah Sistem Gugur,nan,spse 4.4,"  Rp. 1.240.815.000,00",Badan Nasional Pencarian dan Pertolongan,/eproc4/lelang/3066469/jadwal,"1,2 M"
33,3064469,https://lpse.basarnas.go.id/eproc4/lelang/3064469/pengumumanlelang,https://lpse.basarnas.go.id/eproc4/lelang/3064469/peserta,Pengadaan Konsumsi Diklat Latihan Dasar SAR Balai Pendidikan dan Pelatihan Badan Nasional Pencarian dan Pertolongan TA.2022,Jasa Lainnya - TA 2022 - Tender - Pascakualifikasi Satu File Harga Terendah Sistem Gugur,nan,spse 4.4,"  Rp. 2.696.382.000,00",Badan Nasional Pencarian dan Pertolongan,/eproc4/lelang/3064469/jadwal,"2,7 M"
34,3062469,https://lpse.basarnas.go.id/eproc4/lelang/3062469/pengumumanlelang,https://lpse.basarnas.go.id/eproc4/lelang/3062469/peserta,Pengadaan Peralatan Pendeteksi Korban Reruntuhan,Pengadaan Barang - TA 2022 - Tender - Pascakualifikasi Satu File Harga Terendah Sistem Gugur,nan,spse 4.4,"  Rp. 14.999.998.975,00",Badan Nasional Pencarian dan Pertolongan,/eproc4/lelang/3062469/jadwal,"17,3 M"
35,3061469,https://lpse.basarnas.go.id/eproc4/lelang/3061469/pengumumanlelang,https://lpse.basarnas.go.id/eproc4/lelang/3061469/peserta,Pengadaan Peralatan High Angle Rescue,Pengadaan Barang - TA 2022 - Tender - Pascakualifikasi Satu File Harga Terendah Sistem Gugur,nan,spse 4.4,"  Rp. 6.568.611.368,00",Badan Nasional Pencarian dan Pertolongan,/eproc4/lelang/3061469/jadwal,8 M
36,3060469,https://lpse.basarnas.go.id/eproc4/lelang/3060469/pengumumanlelang,https://lpse.basarnas.go.id/eproc4/lelang/3060469/peserta,Pengadaan Peralatan Urban SAR,Pengadaan Barang - TA 2022 - Tender - Pascakualifikasi Satu File Harga Terendah Sistem Gugur,nan,spse 4.4,"  Rp. 14.318.468.000,00",Badan Nasional Pencarian dan Pertolongan,/eproc4/lelang/3060469/jadwal,"14,8 M"
37,3059469,https://lpse.basarnas.go.id/eproc4/lelang/3059469/pengumumanlelang,https://lpse.basarnas.go.id/eproc4/lelang/3059469/peserta,Pekerjaan Airtime for Marine Satellite Communication dalam rangka layanan GPRS Connection Basarnas,Pengadaan Barang - TA 2022 - Tender - Pascakualifikasi Satu File Harga Terendah Sistem Gugur,nan,spse 4.4,"  Rp. 3.476.040.480,00",Badan Nasional Pencarian dan Pertolongan,/eproc4/lelang/3059469/jadwal,"3,5 M"
38,3058469,https://lpse.basarnas.go.id/eproc4/lelang/3058469/pengumumanlelang,https://lpse.basarnas.go.id/eproc4/lelang/3058469/peserta,Pembangunan / Renovasi Gedung dan Bangunan Gedung Operasi Kantor Pencarian dan Pertolongan Palembang,Pekerjaan Konstruksi - TA 2022 - Tender - Pascakualifikasi Satu File Harga Terendah Sistem Gugur,nan,spse 4.4,  Nilai Kontrak belum dibuat,Badan Nasional Pencarian dan Pertolongan,/eproc4/lelang/3058469/jadwal,710 Jt
39,3054469,https://lpse.basarnas.go.id/eproc4/lelang/3054469/pengumumanlelang,https://lpse.basarnas.go.id/eproc4/lelang/3054469/peserta,Pengadaan Perlengkapan Rescuer,Pengadaan Barang - TA 2022 - Tender - Pascakualifikasi Satu File Harga Terendah Sistem Gugur,nan,spse 4.4,"  Rp. 10.167.992.175,00",Badan Nasional Pencarian dan Pertolongan,/eproc4/lelang/3054469/jadwal,"10,2 M"
40,3053469,https://lpse.basarnas.go.id/eproc4/lelang/3053469/pengumumanlelang,https://lpse.basarnas.go.id/eproc4/lelang/3053469/peserta,Pekerjaan Spesial Inspection Untuk Pemeliharaan Kapal Penyelamatan (Rescue Boat) KN SAR 212 Kantor Pencarian Dan Pertolongan Maumere,Jasa Lainnya - TA 2022 - Tender - Pascakualifikasi Satu File Harga Terendah Sistem Gugur,nan,spse 4.4,"  Rp. 2.324.974.575,00",Badan Nasional Pencarian dan Pertolongan,/eproc4/lelang/3053469/jadwal,"2,4 M"
41,3051469,https://lpse.basarnas.go.id/eproc4/lelang/3051469/pengumumanlelang,https://lpse.basarnas.go.id/eproc4/lelang/3051469/peserta,Pengadaan SRU Vehicle,Pengadaan Barang - TA 2022 - Tender Cepat - Pascakualifikasi Satu File Harga Terendah Sistem Gugur,Tender Ulang,spse 4.4,"  Rp. 598.179.000,00",Badan Nasional Pencarian dan Pertolongan,/eproc4/lelang/3051469/jadwal,600 Jt
42,3049469,https://lpse.basarnas.go.id/eproc4/lelang/3049469/pengumumanlelang,https://lpse.basarnas.go.id/eproc4/lelang/3049469/peserta,Pekerjaan Perluasan Pengerasan Area dan Pembuatan Shelter Tower Balai Pendidikan dan Pelatihan Badan Nasional Pencarian dan Pertolongan TA.2022,Pekerjaan Konstruksi - TA 2022 - Tender - Pascakualifikasi Satu File Harga Terendah Sistem Gugur,nan,spse 4.4,"  Rp. 1.315.171.300,00",Badan Nasional Pencarian dan Pertolongan,/eproc4/lelang/3049469/jadwal,"1,3 M"
43,3046469,https://lpse.basarnas.go.id/eproc4/lelang/3046469/pengumumanlelang,https://lpse.basarnas.go.id/eproc4/lelang/3046469/peserta,Pekerjaan Suku Cadang Wifi Marine dalam rangka Communication Supporting Equipment,Pengadaan Barang - TA 2022 - Tender - Pascakualifikasi Satu File Harga Terendah Sistem Gugur,nan,spse 4.4,"  Rp. 3.081.915.000,00",Badan Nasional Pencarian dan Pertolongan,/eproc4/lelang/3046469/jadwal,"3,2 M"
44,3044469,https://lpse.basarnas.go.id/eproc4/lelang/3044469/pengumumanlelang,https://lpse.basarnas.go.id/eproc4/lelang/3044469/peserta,Pekerjaan Suku Cadang Peralatan Komunikasi dalam rangka Communication Supporting Equipment,Pengadaan Barang - TA 2022 - Tender - Pascakualifikasi Satu File Harga Terendah Sistem Gugur,nan,spse 4.4,"  Rp. 9.007.983.000,00",Badan Nasional Pencarian dan Pertolongan,/eproc4/lelang/3044469/jadwal,9 M
45,3043469,https://lpse.basarnas.go.id/eproc4/lelang/3043469/pengumumanlelang,https://lpse.basarnas.go.id/eproc4/lelang/3043469/peserta,Pengadaan Rigid Inflatable Boat Kelas 1,Pengadaan Barang - TA 2022 - Tender - Pascakualifikasi Satu File Harga Terendah Sistem Gugur,nan,spse 4.4,"  Rp. 29.931.896.957,00",Badan Nasional Pencarian dan Pertolongan,/eproc4/lelang/3043469/jadwal,30 M
46,3041469,https://lpse.basarnas.go.id/eproc4/lelang/3041469/pengumumanlelang,https://lpse.basarnas.go.id/eproc4/lelang/3041469/peserta,PEKERJAAN PENATAAN RUANGAN KERJA LANTAI 2 GEDUNG KANTOR PUSAT BADAN NASIONAL PENCARIAN DAN PERTOLONGAN TAHUN ANGGARAN 2022,Pekerjaan Konstruksi - TA 2022 - Tender - Pascakualifikasi Satu File Harga Terendah Sistem Gugur,nan,spse 4.4,"  Rp. 2.099.203.322,00",Badan Nasional Pencarian dan Pertolongan,/eproc4/lelang/3041469/jadwal,"2,1 M"
47,3040469,https://lpse.basarnas.go.id/eproc4/lelang/3040469/pengumumanlelang,https://lpse.basarnas.go.id/eproc4/lelang/3040469/peserta,Revitalisasi Backbone Infrastruktur Jaringan Pusat Data dalam rangka Maintenance IT Sysem Support,Pengadaan Barang - TA 2022 - Tender - Pascakualifikasi Satu File Harga Terendah Sistem Gugur,Tender Dibatalkan,spse 4.4,  Nilai Kontrak belum dibuat,Badan Nasional Pencarian dan Pertolongan,/eproc4/lelang/3040469/jadwal,"3,6 M"
48,3033469,https://lpse.basarnas.go.id/eproc4/lelang/3033469/pengumumanlelang,https://lpse.basarnas.go.id/eproc4/lelang/3033469/peserta,Pengadaan Under Water Evacuation,Pengadaan Barang - TA 2022 - Tender - Pascakualifikasi Satu File Harga Terendah Sistem Gugur,nan,spse 4.4,"  Rp. 6.839.042.485,00",Badan Nasional Pencarian dan Pertolongan,/eproc4/lelang/3033469/jadwal,"7,7 M"
49,3032469,https://lpse.basarnas.go.id/eproc4/lelang/3032469/pengumumanlelang,https://lpse.basarnas.go.id/eproc4/lelang/3032469/peserta,"Penyediaan Tenaga Alih Daya (Outsourching) Satpam, Pramubakti, dan Alat Kebersihan Kantor Pencarian dan Pertolongan Ternate",Jasa Lainnya - TA 2022 - Tender - Pascakualifikasi Satu File Harga Terendah Sistem Gugur,nan,spse 4.4,"  Rp. 1.348.574.986,00",Badan Nasional Pencarian dan Pertolongan,/eproc4/lelang/3032469/jadwal,"1,3 M"
50,3024469,https://lpse.basarnas.go.id/eproc4/lelang/3024469/pengumumanlelang,https://lpse.basarnas.go.id/eproc4/lelang/3024469/peserta,Pengadaan Sarana SAR Rescue Car Tipe II,Pengadaan Barang - TA 2022 - Tender - Pascakualifikasi Satu File Harga Terendah Sistem Gugur,nan,spse 4.4,"  Rp. 12.410.222.000,00",Badan Nasional Pencarian dan Pertolongan,/eproc4/lelang/3024469/jadwal,"12,6 M"
51,3023469,https://lpse.basarnas.go.id/eproc4/lelang/3023469/pengumumanlelang,https://lpse.basarnas.go.id/eproc4/lelang/3023469/peserta,Pengadaan Peralatan Audio Visual Indor di Aula Lantai 15 dan Lantai 2 Badan Nasional Pencarian Dan Pertolongan Tahun Anggaran 2022,Pengadaan Barang - TA 2022 - Tender - Pascakualifikasi Satu File Harga Terendah Sistem Gugur,Tender Dibatalkan,spse 4.4,"  Rp. 1.476.560.850,00",Badan Nasional Pencarian dan Pertolongan,/eproc4/lelang/3023469/jadwal,"1,5 M"
52,3008469,https://lpse.basarnas.go.id/eproc4/lelang/3008469/pengumumanlelang,https://lpse.basarnas.go.id/eproc4/lelang/3008469/peserta,Pembangunan Dermaga KPP Jayapura Tahap 2,Pekerjaan Konstruksi - TA 2022 - Tender - Pascakualifikasi Satu File Harga Terendah Sistem Gugur,nan,spse 4.4,"  Rp. 1.066.522.500,00",Badan Nasional Pencarian dan Pertolongan,/eproc4/lelang/3008469/jadwal,"1,3 M"
53,3007469,https://lpse.basarnas.go.id/eproc4/lelang/3007469/pengumumanlelang,https://lpse.basarnas.go.id/eproc4/lelang/3007469/peserta,Pekerjaan Rekondisi Pesawat Helikopter Tipe BO-105 No. Reg. HR-1518 Badan Nasional Pencarian Dan Pertolongan,Jasa Lainnya - TA 2022 - Tender - Pascakualifikasi Satu File Harga Terendah Sistem Gugur,nan,spse 4.4,"  Rp. 18.420.090.900,00",Badan Nasional Pencarian dan Pertolongan,/eproc4/lelang/3007469/jadwal,"18,4 M"
54,3006469,https://lpse.basarnas.go.id/eproc4/lelang/3006469/pengumumanlelang,https://lpse.basarnas.go.id/eproc4/lelang/3006469/peserta,Pekerjaan Rekondisi Pesawat Helikopter Tipe BO-105 No. Reg. HR-1517 Badan Nasional Pencarian Dan Pertolongan,Jasa Lainnya - TA 2022 - Tender - Pascakualifikasi Satu File Harga Terendah Sistem Gugur,nan,spse 4.4,"  Rp. 18.400.096.200,00",Badan Nasional Pencarian dan Pertolongan,/eproc4/lelang/3006469/jadwal,"18,4 M"
